modalidad_trabajo,genero,canal_reclutamiento,estado_civil,id_colaborador,id_ultimo_jefe,seniority,distancia_oficina,dias_baja_salud,permanencia_promedio,salario,performance_score,psi_score,abandono_6meses,edad_ingreso
Híbrida,Mujer,Portal Web,Divorciado,100055.0,102069.0,1.0,3.0,9.0,5.0,310925.0,91.0,77.0,0.0,27.0
Híbrida,Mujer,Portal Web,Soltero,100042.0,102091.0,1.0,1.0,2.0,6.0,345283.0,91.0,73.0,1.0,29.0
Híbrida,Mujer,Portal Web,Viudo,100730.0,102123.0,1.0,2.0,2.0,6.0,344891.0,91.0,73.0,0.0,33.0
Híbrida,Hombre,Referidos,Casado,101926.0,102064.0,1.0,6.0,0.0,8.0,345740.0,91.0,73.0,0.0,27.0
Híbrida,Hombre,Portal Web,Soltero,101088.0,102040.0,1.0,1.0,1.0,9.0,425196.0,91.0,81.0,1.0,31.0
Híbrida,Mujer,Referidos,Viudo,100285.0,102025.0,1.0,3.0,2.0,12.0,491270.0,91.0,78.0,0.0,33.0
Híbrida,Hombre,Referidos,Soltero,100870.0,102132.0,1.0,2.0,0.0,4.0,248686.0,91.0,78.0,0.0,41.0
Híbrida,Mujer,Portal Web,Divorciado,100839.0,102119.0,1.0,1.0,1.0,14.0,261262.0,91.0,81.0,1.0,44.0
Híbrida,Mujer,Linkedin,Casado,101418.0,102049.0,1.0,5.0,2.0,5.0,257412.0,91.0,72.0,0.0,36.0
Híbrida,Hombre,Referidos,Casado,101850.0,102054.0,1.0,6.0,1.0,5.0,285511.0,91.0,79.0,0.0,39.0
Híbrida,Hombre,Referidos,Soltero,101593.0,102016.0,1.0,6.0,2.0,6.0,293996.0,91.0,76.0,0.0,37.0
Híbrida,Hombre,Portal Web,Casado,100140.0,102133.0,1.0,5.0,2.0,14.0,297717.0,91.0,76.0,0.0,48.0
Híbrida,Hombre,Portal Web,Viudo,101134.0,102057.0,1.0,3.0,1.0,7.0,634099.0,91.0,70.0,0.0,43.0
Híbrida,Hombre,Portal Web,Divorciado,100324.0,102082.0,1.0,2.0,2.0,7.0,775708.0,91.0,65.0,1.0,46.0
Híbrida,Hombre,Portal Web,Soltero,100620.0,102112.0,1.0,1.0,0.0,10.0,701751.0,91.0,72.0,0.0,52.0
Híbrida,Hombre,Referidos,Divorciado,100248.0,102001.0,1.0,5.0,1.0,13.0,698680.0,91.0,75.0,0.0,43.0
Híbrida,Hombre,Ferias & Networking,Casado,101054.0,102068.0,1.0,1.0,3.0,6.0,735061.0,91.0,80.0,0.0,48.0
Híbrida,Hombre,Portal Web,Casado,100338.0,102052.0,1.0,5.0,5.0,5.0,919540.0,91.0,71.0,0.0,48.0
Híbrida,Hombre,Portal Web,Casado,100998.0,102119.0,1.0,4.0,1.0,20.0,920681.0,91.0,74.0,0.0,58.0
Híbrida,Mujer,Portal Web,Soltero,101120.0,102047.0,1.0,6.0,1.0,9.0,901271.0,91.0,79.0,1.0,50.0
Híbrida,Mujer,Linkedin,Soltero,102989.0,102161.0,1.0,1.0,1.0,2.0,102061.0,91.0,74.0,0.0,21.0
Híbrida,Hombre,Referidos,Soltero,103343.0,102140.0,1.0,4.0,1.0,1.0,77856.0,91.0,75.0,0.0,20.0
Híbrida,Mujer,Portal Web,Soltero,104103.0,102021.0,1.0,1.0,6.0,1.0,124172.0,91.0,69.0,1.0,13.0
Híbrida,Mujer,Referidos,Soltero,103012.0,102118.0,1.0,2.0,1.0,3.0,143012.0,91.0,77.0,0.0,21.0
Híbrida,Hombre,Portal Web,Casado,102957.0,102044.0,1.0,5.0,2.0,2.0,141388.0,91.0,72.0,0.0,14.0
Híbrida,Hombre,Portal Web,Soltero,103989.0,102105.0,1.0,1.0,3.0,4.0,162463.0,91.0,64.0,1.0,23.0
Híbrida,Mujer,Portal Web,Soltero,103893.0,102156.0,1.0,2.0,0.0,3.0,182100.0,91.0,87.0,1.0,26.0
Híbrida,Hombre,Portal Web,Soltero,102514.0,102171.0,1.0,2.0,0.0,5.0,208134.0,91.0,66.0,0.0,29.0
Híbrida,Hombre,Ferias & Networking,Soltero,103692.0,102126.0,1.0,4.0,2.0,3.0,206256.0,91.0,86.0,0.0,27.0
Híbrida,Hombre,Referidos,Soltero,103228.0,102156.0,1.0,1.0,0.0,5.0,332717.0,91.0,75.0,0.0,34.0
Híbrida,Mujer,Portal Web,Soltero,103524.0,102091.0,1.0,1.0,3.0,6.0,351497.0,91.0,73.0,0.0,29.0
Híbrida,Mujer,Portal Web,Viudo,102708.0,102123.0,1.0,2.0,1.0,6.0,348568.0,91.0,73.0,0.0,33.0
Híbrida,Hombre,Referidos,Casado,102239.0,102064.0,1.0,6.0,0.0,8.0,345385.0,91.0,73.0,0.0,27.0
Híbrida,Hombre,Ferias & Networking,Soltero,103319.0,102129.0,1.0,2.0,3.0,2.0,386314.0,91.0,66.0,1.0,37.0
Híbrida,Mujer,Linkedin,Casado,103054.0,102021.0,1.0,2.0,2.0,4.0,407156.0,91.0,74.0,0.0,28.0
Híbrida,Hombre,Linkedin,Casado,102597.0,102042.0,1.0,7.0,9.0,11.0,425198.0,91.0,65.0,0.0,29.0
Híbrida,Mujer,Linkedin,Casado,103454.0,102090.0,1.0,2.0,1.0,3.0,867018.0,91.0,75.0,0.0,37.0
Híbrida,Mujer,Referidos,Viudo,102889.0,102025.0,1.0,3.0,2.0,12.0,485490.0,91.0,78.0,0.0,33.0
Híbrida,Mujer,Linkedin,Soltero,103857.0,102045.0,1.0,2.0,1.0,5.0,256642.0,91.0,81.0,0.0,37.0
Híbrida,Mujer,Linkedin,Casado,103361.0,102049.0,1.0,5.0,2.0,5.0,254243.0,91.0,72.0,0.0,36.0
Híbrida,Mujer,Ferias & Networking,Casado,103395.0,102042.0,1.0,3.0,2.0,8.0,374624.0,91.0,64.0,0.0,36.0
Híbrida,Mujer,Portal Web,Casado,102851.0,102042.0,1.0,6.0,1.0,13.0,265523.0,91.0,73.0,0.0,35.0
Híbrida,Mujer,Portal Web,Soltero,104162.0,102119.0,1.0,5.0,0.0,6.0,461479.0,91.0,74.0,0.0,46.0
Híbrida,Mujer,Linkedin,Viudo,103125.0,102159.0,1.0,2.0,2.0,11.0,294705.0,91.0,70.0,1.0,49.0
Híbrida,Hombre,Referidos,Soltero,103202.0,102016.0,1.0,6.0,3.0,6.0,301384.0,91.0,76.0,1.0,38.0
Híbrida,Hombre,Portal Web,Viudo,103473.0,102143.0,1.0,2.0,6.0,11.0,635064.0,91.0,75.0,0.0,51.0
Híbrida,Mujer,Portal Web,Divorciado,104088.0,102120.0,1.0,3.0,0.0,13.0,657510.0,91.0,64.0,0.0,51.0
Híbrida,Hombre,Portal Web,Viudo,104022.0,102110.0,1.0,2.0,5.0,7.0,660549.0,91.0,72.0,1.0,48.0
Híbrida,Hombre,Referidos,Viudo,102387.0,102073.0,1.0,1.0,1.0,8.0,676398.0,91.0,82.0,0.0,45.0
Híbrida,Hombre,Referidos,Divorciado,102524.0,102001.0,1.0,5.0,1.0,13.0,696350.0,91.0,75.0,0.0,43.0
Híbrida,Hombre,Portal Web,Casado,102672.0,102139.0,1.0,6.0,7.0,5.0,740155.0,91.0,67.0,0.0,56.0
Híbrida,Mujer,Linkedin,Viudo,103321.0,102114.0,1.0,6.0,12.0,7.0,919363.0,91.0,74.0,0.0,51.0
Híbrida,Hombre,Portal Web,Casado,103804.0,102119.0,1.0,4.0,1.0,20.0,919874.0,91.0,74.0,1.0,58.0
Híbrida,Hombre,Portal Web,Viudo,103537.0,102129.0,1.0,3.0,2.0,4.0,898019.0,91.0,68.0,0.0,57.0
Híbrida,Hombre,Portal Web,Soltero,100364.0,102040.0,1.0,2.0,6.0,2.0,118012.0,90.0,72.0,0.0,12.0
Híbrida,Hombre,Linkedin,Soltero,100610.0,102069.0,1.0,2.0,1.0,3.0,147812.0,90.0,81.0,1.0,16.0
Híbrida,Hombre,Portal Web,Soltero,100049.0,102027.0,1.0,2.0,1.0,2.0,142895.0,90.0,62.0,0.0,15.0
Híbrida,Mujer,Referidos,Casado,100596.0,102124.0,1.0,1.0,1.0,2.0,181845.0,90.0,66.0,0.0,23.0
Híbrida,Hombre,Ferias & Networking,Soltero,101501.0,102084.0,1.0,2.0,2.0,3.0,180818.0,90.0,74.0,0.0,20.0
Híbrida,Hombre,Ferias & Networking,Casado,100403.0,102049.0,1.0,2.0,1.0,4.0,186063.0,90.0,83.0,0.0,16.0
Híbrida,Hombre,Referidos,Soltero,100999.0,102156.0,1.0,1.0,0.0,5.0,330628.0,90.0,75.0,0.0,34.0
Híbrida,Hombre,Portal Web,Casado,100684.0,102080.0,1.0,5.0,3.0,2.0,325874.0,90.0,79.0,1.0,28.0
Híbrida,Hombre,Ferias & Networking,Soltero,101130.0,102111.0,1.0,3.0,1.0,2.0,371048.0,90.0,67.0,1.0,33.0
Híbrida,Mujer,Linkedin,Soltero,100117.0,102044.0,1.0,2.0,1.0,6.0,385656.0,90.0,61.0,0.0,28.0
Híbrida,Mujer,Linkedin,Casado,100810.0,102021.0,1.0,2.0,2.0,4.0,404582.0,90.0,74.0,0.0,28.0
Híbrida,Hombre,Linkedin,Casado,101940.0,102042.0,1.0,7.0,8.0,11.0,432492.0,90.0,65.0,0.0,29.0
Híbrida,Hombre,Linkedin,Soltero,101617.0,102067.0,1.0,4.0,3.0,5.0,825544.0,90.0,73.0,1.0,32.0
Híbrida,Mujer,Linkedin,Casado,101309.0,102090.0,1.0,2.0,1.0,3.0,864639.0,90.0,75.0,1.0,37.0
Híbrida,Hombre,Linkedin,Soltero,101560.0,102113.0,1.0,5.0,5.0,3.0,469101.0,90.0,69.0,0.0,37.0
Híbrida,Mujer,Portal Web,Casado,101782.0,102056.0,1.0,2.0,4.0,7.0,910297.0,90.0,73.0,1.0,34.0
Híbrida,Hombre,Portal Web,Soltero,100922.0,102133.0,1.0,4.0,3.0,13.0,255757.0,90.0,65.0,0.0,42.0
Híbrida,Hombre,Portal Web,Divorciado,101255.0,102099.0,1.0,4.0,6.0,3.0,265912.0,90.0,65.0,0.0,40.0
Híbrida,Hombre,Referidos,Casado,101939.0,102020.0,1.0,1.0,0.0,11.0,422093.0,90.0,70.0,0.0,36.0
Híbrida,Mujer,Portal Web,Soltero,101848.0,102119.0,1.0,5.0,1.0,6.0,459275.0,90.0,74.0,1.0,46.0
Híbrida,Hombre,Referidos,Divorciado,101757.0,102112.0,1.0,1.0,2.0,5.0,311994.0,90.0,76.0,0.0,47.0
Híbrida,Mujer,Linkedin,Divorciado,100046.0,102103.0,1.0,5.0,2.0,15.0,299129.0,90.0,66.0,1.0,45.0
Híbrida,Hombre,Linkedin,Casado,100381.0,102034.0,1.0,2.0,6.0,5.0,299497.0,90.0,80.0,0.0,38.0
Híbrida,Hombre,Referidos,Soltero,102159.0,102068.0,2.0,1.0,2.0,14.0,808000.0,90.0,86.0,1.0,45.0
Híbrida,Mujer,Portal Web,Divorciado,101430.0,102120.0,1.0,3.0,1.0,13.0,660103.0,90.0,64.0,1.0,51.0
Híbrida,Hombre,Portal Web,Viudo,100840.0,102110.0,1.0,2.0,5.0,7.0,657264.0,90.0,72.0,1.0,48.0
Híbrida,Hombre,Linkedin,Divorciado,100925.0,102084.0,1.0,2.0,10.0,16.0,679779.0,90.0,80.0,1.0,47.0
Híbrida,Hombre,Ferias & Networking,Viudo,101154.0,102064.0,1.0,5.0,2.0,10.0,779531.0,90.0,73.0,0.0,46.0
Híbrida,Mujer,Portal Web,Casado,101458.0,102079.0,1.0,2.0,1.0,15.0,821808.0,90.0,70.0,0.0,45.0
Híbrida,Mujer,Portal Web,Viudo,100724.0,102031.0,1.0,4.0,9.0,11.0,774599.0,90.0,73.0,1.0,45.0
Híbrida,Hombre,Portal Web,Casado,101065.0,102139.0,1.0,6.0,8.0,5.0,735919.0,90.0,67.0,0.0,56.0
Híbrida,Hombre,Ferias & Networking,Divorciado,101525.0,102068.0,1.0,3.0,2.0,18.0,734211.0,90.0,71.0,1.0,50.0
Híbrida,Mujer,Referidos,Soltero,102894.0,102082.0,1.0,1.0,2.0,1.0,83588.0,90.0,89.0,0.0,14.0
Híbrida,Mujer,Referidos,Casado,102379.0,102015.0,1.0,6.0,3.0,1.0,99663.0,90.0,80.0,0.0,11.0
Híbrida,Hombre,Portal Web,Soltero,104137.0,102107.0,1.0,2.0,3.0,2.0,144752.0,90.0,80.0,1.0,22.0
Híbrida,Hombre,Referidos,Soltero,102972.0,102027.0,1.0,2.0,1.0,2.0,148178.0,90.0,62.0,0.0,15.0
Híbrida,Mujer,Referidos,Soltero,103195.0,102083.0,1.0,1.0,3.0,4.0,163871.0,90.0,73.0,0.0,20.0
Híbrida,Hombre,Portal Web,Casado,103722.0,102153.0,1.0,2.0,1.0,2.0,205076.0,90.0,73.0,0.0,27.0
Híbrida,Hombre,Referidos,Casado,103020.0,102141.0,1.0,2.0,1.0,3.0,245041.0,90.0,73.0,1.0,29.0
Híbrida,Mujer,Referidos,Divorciado,103977.0,102102.0,1.0,1.0,2.0,7.0,272773.0,90.0,86.0,1.0,27.0
Híbrida,Mujer,Portal Web,Casado,103143.0,102036.0,1.0,3.0,1.0,5.0,271243.0,90.0,74.0,1.0,21.0
Híbrida,Hombre,Ferias & Networking,Soltero,103498.0,102125.0,1.0,2.0,1.0,5.0,307301.0,90.0,79.0,1.0,31.0
Híbrida,Hombre,Linkedin,Soltero,102879.0,102090.0,1.0,4.0,1.0,7.0,329037.0,90.0,89.0,0.0,29.0
Híbrida,Mujer,Linkedin,Casado,103429.0,102100.0,1.0,3.0,1.0,6.0,307843.0,90.0,74.0,0.0,28.0
Híbrida,Mujer,Portal Web,Soltero,102837.0,102024.0,1.0,5.0,1.0,4.0,310948.0,90.0,59.0,1.0,23.0
Híbrida,Hombre,Referidos,Soltero,103815.0,102134.0,1.0,6.0,3.0,4.0,426674.0,90.0,72.0,0.0,39.0
Híbrida,Hombre,Linkedin,Casado,102848.0,102113.0,1.0,3.0,2.0,5.0,452080.0,90.0,70.0,0.0,37.0
Híbrida,Hombre,Linkedin,Soltero,104139.0,102104.0,1.0,4.0,5.0,10.0,426754.0,90.0,77.0,1.0,37.0
Híbrida,Hombre,Referidos,Casado,102664.0,102071.0,1.0,3.0,0.0,11.0,431910.0,90.0,76.0,0.0,33.0
Híbrida,Hombre,Linkedin,Soltero,103624.0,102113.0,1.0,5.0,5.0,3.0,468623.0,90.0,69.0,1.0,37.0
Híbrida,Hombre,Referidos,Casado,103118.0,102062.0,1.0,5.0,1.0,4.0,484549.0,90.0,86.0,1.0,33.0
Híbrida,Hombre,Referidos,Soltero,102497.0,102132.0,1.0,2.0,1.0,4.0,251479.0,90.0,78.0,0.0,42.0
Híbrida,Hombre,Portal Web,Casado,104041.0,102123.0,1.0,7.0,1.0,4.0,279576.0,90.0,89.0,1.0,45.0
Híbrida,Hombre,Referidos,Casado,102605.0,102054.0,1.0,6.0,1.0,5.0,291144.0,90.0,79.0,0.0,39.0
Híbrida,Hombre,Portal Web,Casado,102203.0,102020.0,1.0,1.0,0.0,11.0,421740.0,90.0,70.0,0.0,36.0
Híbrida,Hombre,Portal Web,Divorciado,102323.0,102085.0,1.0,5.0,3.0,13.0,287291.0,90.0,81.0,0.0,42.0
Híbrida,Hombre,Portal Web,Casado,103172.0,102133.0,1.0,5.0,3.0,14.0,293626.0,90.0,76.0,0.0,48.0
Híbrida,Hombre,Portal Web,Soltero,103526.0,102028.0,1.0,1.0,2.0,13.0,385172.0,90.0,71.0,1.0,40.0
Híbrida,Hombre,Referidos,Divorciado,102771.0,102112.0,1.0,1.0,3.0,5.0,304335.0,90.0,76.0,0.0,47.0
Híbrida,Hombre,Portal Web,Viudo,102970.0,102057.0,1.0,3.0,2.0,7.0,639511.0,90.0,70.0,0.0,43.0
Híbrida,Hombre,Portal Web,Soltero,103856.0,102106.0,1.0,1.0,5.0,4.0,682429.0,90.0,74.0,1.0,49.0
Híbrida,Mujer,Portal Web,Divorciado,104024.0,102043.0,1.0,2.0,5.0,11.0,758724.0,90.0,74.0,1.0,44.0
Híbrida,Mujer,Portal Web,Viudo,103945.0,102031.0,1.0,4.0,9.0,11.0,776059.0,90.0,73.0,1.0,45.0
Híbrida,Hombre,Portal Web,Casado,102315.0,102052.0,1.0,5.0,6.0,5.0,921529.0,90.0,71.0,0.0,48.0
Híbrida,Mujer,Portal Web,Soltero,103763.0,102047.0,1.0,6.0,2.0,9.0,893413.0,90.0,79.0,1.0,50.0
Híbrida,Hombre,Referidos,Casado,101461.0,102062.0,1.0,5.0,1.0,4.0,491005.0,89.0,86.0,1.0,33.0
Híbrida,Hombre,Portal Web,Casado,101812.0,102123.0,1.0,7.0,1.0,4.0,280650.0,89.0,89.0,1.0,45.0
Híbrida,Hombre,Portal Web,Soltero,102639.0,102040.0,1.0,2.0,7.0,2.0,122797.0,89.0,72.0,0.0,12.0
Híbrida,Hombre,Ferias & Networking,Casado,103776.0,102049.0,1.0,2.0,1.0,4.0,182149.0,89.0,83.0,0.0,17.0
Híbrida,Mujer,Portal Web,Casado,103673.0,102125.0,1.0,2.0,6.0,2.0,208227.0,89.0,62.0,1.0,27.0
Híbrida,Mujer,Ferias & Networking,Casado,102174.0,102068.0,1.0,1.0,0.0,5.0,429359.0,89.0,68.0,0.0,32.0
Híbrida,Hombre,Referidos,Casado,103599.0,102105.0,1.0,1.0,1.0,3.0,529355.0,89.0,77.0,0.0,41.0
Híbrida,Mujer,Ferias & Networking,Soltero,100266.0,102092.0,1.0,5.0,1.0,1.0,164871.0,88.0,68.0,0.0,22.0
Híbrida,Mujer,Portal Web,Casado,100483.0,102121.0,1.0,3.0,3.0,6.0,325130.0,87.0,72.0,0.0,31.0
Híbrida,Mujer,Portal Web,Soltero,101499.0,102106.0,1.0,2.0,2.0,6.0,787447.0,87.0,62.0,0.0,37.0
Híbrida,Mujer,Ferias & Networking,Soltero,103385.0,102092.0,1.0,5.0,1.0,1.0,161194.0,87.0,68.0,1.0,22.0
Híbrida,Hombre,Portal Web,Casado,103153.0,102082.0,1.0,3.0,0.0,7.0,293344.0,87.0,73.0,1.0,25.0
Híbrida,Mujer,Portal Web,Casado,103584.0,102121.0,1.0,3.0,2.0,6.0,327492.0,87.0,72.0,0.0,31.0
Híbrida,Hombre,Portal Web,Casado,101483.0,102082.0,1.0,3.0,1.0,7.0,288860.0,86.0,73.0,1.0,25.0
Híbrida,Mujer,Ferias & Networking,Soltero,102397.0,102092.0,1.0,5.0,1.0,1.0,118928.0,86.0,90.0,1.0,18.0
Híbrida,Mujer,Linkedin,Soltero,100344.0,102059.0,1.0,2.0,1.0,1.0,185710.0,85.0,88.0,1.0,19.0
Híbrida,Hombre,Ferias & Networking,Casado,101257.0,102064.0,1.0,2.0,2.0,6.0,312988.0,85.0,78.0,0.0,24.0
Híbrida,Mujer,Portal Web,Casado,101597.0,102017.0,1.0,5.0,3.0,13.0,279971.0,85.0,86.0,0.0,36.0
Híbrida,Mujer,Referidos,Soltero,101084.0,102065.0,1.0,4.0,1.0,4.0,655294.0,85.0,76.0,0.0,46.0
Híbrida,Mujer,Referidos,Soltero,102764.0,102087.0,1.0,2.0,1.0,4.0,145826.0,85.0,77.0,0.0,18.0
Híbrida,Mujer,Portal Web,Soltero,102464.0,102091.0,1.0,5.0,1.0,5.0,432157.0,85.0,73.0,0.0,34.0
Híbrida,Mujer,Referidos,Soltero,102554.0,102117.0,1.0,3.0,0.0,6.0,247075.0,85.0,73.0,0.0,41.0
Híbrida,Mujer,Linkedin,Soltero,103492.0,102059.0,1.0,2.0,1.0,1.0,192368.0,84.0,88.0,1.0,19.0
Híbrida,Hombre,Portal Web,Divorciado,102856.0,102142.0,1.0,3.0,11.0,8.0,294775.0,84.0,74.0,0.0,48.0
Híbrida,Mujer,Referidos,Soltero,103282.0,102065.0,1.0,4.0,1.0,4.0,661443.0,84.0,76.0,1.0,45.0
Híbrida,Hombre,Portal Web,Soltero,101140.0,102108.0,1.0,2.0,1.0,4.0,272512.0,83.0,73.0,1.0,28.0
Híbrida,Hombre,Ferias & Networking,Soltero,103961.0,102086.0,1.0,3.0,14.0,6.0,424725.0,83.0,86.0,1.0,35.0
Híbrida,Hombre,Linkedin,Casado,102442.0,102131.0,1.0,1.0,6.0,16.0,877120.0,83.0,85.0,0.0,53.0
Híbrida,Hombre,Portal Web,Soltero,102718.0,102061.0,1.0,2.0,3.0,16.0,776515.0,83.0,78.0,0.0,44.0
Híbrida,Hombre,Portal Web,Casado,100314.0,102041.0,1.0,1.0,3.0,3.0,245947.0,82.0,69.0,1.0,23.0
Híbrida,Hombre,Linkedin,Casado,100921.0,102131.0,1.0,1.0,7.0,16.0,874739.0,82.0,85.0,1.0,53.0
Híbrida,Hombre,Portal Web,Casado,103616.0,102041.0,1.0,1.0,3.0,3.0,251419.0,82.0,69.0,1.0,23.0
Híbrida,Hombre,Referidos,Soltero,101144.0,102010.0,1.0,2.0,1.0,2.0,159568.0,81.0,84.0,1.0,13.0
Híbrida,Mujer,Referidos,Soltero,101587.0,102085.0,1.0,4.0,1.0,3.0,148314.0,81.0,63.0,1.0,18.0
Híbrida,Mujer,Portal Web,Casado,100628.0,102081.0,1.0,4.0,3.0,7.0,290832.0,81.0,71.0,0.0,26.0
Híbrida,Hombre,Linkedin,Divorciado,101536.0,102042.0,1.0,6.0,3.0,3.0,641367.0,81.0,74.0,0.0,42.0
Híbrida,Hombre,Referidos,Soltero,102924.0,102010.0,1.0,2.0,2.0,2.0,156060.0,81.0,84.0,0.0,13.0
Híbrida,Mujer,Portal Web,Casado,103094.0,102038.0,1.0,3.0,2.0,9.0,507562.0,81.0,79.0,1.0,35.0
Híbrida,Mujer,Ferias & Networking,Soltero,101402.0,102133.0,1.0,2.0,1.0,1.0,118306.0,80.0,75.0,1.0,22.0
Híbrida,Hombre,Portal Web,Casado,102023.0,102048.0,2.0,5.0,1.0,4.0,539000.0,80.0,65.0,1.0,23.0
Híbrida,Mujer,Ferias & Networking,Casado,101539.0,102105.0,1.0,7.0,2.0,13.0,255797.0,80.0,74.0,0.0,40.0
Híbrida,Mujer,Portal Web,Casado,103988.0,102081.0,1.0,4.0,3.0,5.0,288616.0,80.0,71.0,1.0,26.0
Híbrida,Mujer,Portal Web,Casado,103311.0,102144.0,1.0,2.0,0.0,8.0,493105.0,80.0,79.0,0.0,43.0
Híbrida,Mujer,Ferias & Networking,Casado,103246.0,102105.0,1.0,7.0,2.0,13.0,255768.0,80.0,74.0,0.0,40.0
Híbrida,Hombre,Portal Web,Casado,100507.0,102039.0,1.0,7.0,1.0,4.0,208020.0,79.0,64.0,0.0,18.0
Híbrida,Hombre,Portal Web,Casado,101379.0,102103.0,1.0,3.0,0.0,3.0,384716.0,79.0,82.0,0.0,34.0
Híbrida,Hombre,Referidos,Soltero,101720.0,102129.0,1.0,1.0,1.0,8.0,471585.0,79.0,67.0,1.0,41.0
Híbrida,Mujer,Linkedin,Casado,100239.0,102052.0,1.0,2.0,3.0,6.0,504341.0,79.0,75.0,1.0,36.0
Híbrida,Mujer,Linkedin,Soltero,100231.0,102042.0,1.0,6.0,10.0,3.0,289954.0,79.0,79.0,1.0,37.0
Híbrida,Mujer,Portal Web,Casado,101612.0,102094.0,1.0,3.0,3.0,14.0,633855.0,79.0,87.0,0.0,45.0
Híbrida,Hombre,Linkedin,Viudo,101828.0,102154.0,1.0,2.0,1.0,1.0,893868.0,79.0,76.0,0.0,56.0
Híbrida,Hombre,Linkedin,Soltero,102347.0,102143.0,1.0,2.0,8.0,5.0,261929.0,79.0,89.0,1.0,43.0
Híbrida,Hombre,Linkedin,Soltero,100544.0,102064.0,1.0,2.0,1.0,1.0,103345.0,78.0,69.0,0.0,15.0
